                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.83047,                0.47108,                0.97388,                0.93156,                0.88153,                0.91003,                0.69185,                0.91076,                0.63552,                 1.0031,              0.0006768,              0.0006768,              0.0006768
                    122,                0.84775,                0.48969,                0.97875,                0.93157,                0.90126,                0.90772,                0.69615,                0.90328,                0.63856,                0.98012,             0.00066855,             0.00066855,             0.00066855
                    123,                0.83239,                0.48039,                0.97683,                0.93118,                0.89418,                0.92139,                0.70062,                0.90583,                0.61249,                 0.9861,              0.0006603,              0.0006603,              0.0006603
                    124,                0.83191,                 0.4857,                0.97259,                0.94233,                0.88498,                0.91056,                0.69515,                0.89899,                0.62441,                0.98248,             0.00065205,             0.00065205,             0.00065205
                    125,                 0.8494,                 0.4787,                0.97536,                0.94445,                0.86096,                0.90638,                0.69082,                0.91691,                0.63138,                 0.9891,              0.0006438,              0.0006438,              0.0006438
                    126,                0.82035,                 0.4805,                0.96659,                0.94163,                0.86375,                0.90194,                0.69011,                 0.9036,                0.63678,                 0.9863,             0.00063554,             0.00063554,             0.00063554
                    127,                0.84221,                0.47523,                0.97565,                 0.9553,                0.87379,                0.91052,                0.69537,                0.89898,                0.60375,                0.98055,             0.00062729,             0.00062729,             0.00062729
                    128,                0.81197,                 0.4668,                 0.9691,                0.89794,                0.87434,                0.91022,                0.68528,                0.89659,                0.61864,                0.99197,             0.00061904,             0.00061904,             0.00061904
                    129,                0.82972,                0.47504,                0.97052,                0.94773,                0.83984,                0.90932,                0.68444,                0.91974,                0.61486,                 0.9875,             0.00061079,             0.00061079,             0.00061079
                    130,                0.82578,                0.46018,                 0.9742,                0.90978,                0.89569,                0.91036,                0.69655,                0.90084,                0.61441,                0.98763,             0.00060254,             0.00060254,             0.00060254
                    131,                 0.8203,                0.46246,                 0.9666,                  0.944,                0.87897,                 0.9139,                0.69194,                 0.9174,                0.60157,                0.99347,             0.00059429,             0.00059429,             0.00059429
                    132,                0.80793,                0.46577,                0.96478,                0.93509,                0.88339,                0.91252,                0.68844,                0.90893,                0.61794,                0.99713,             0.00058603,             0.00058603,             0.00058603
                    133,                0.80446,                 0.4563,                0.95483,                0.94235,                0.85334,                 0.9125,                0.69013,                 0.9116,                0.62514,                0.99781,             0.00057778,             0.00057778,             0.00057778
                    134,                0.80799,                0.46054,                 0.9639,                0.92905,                0.88955,                0.91199,                0.69033,                0.90468,                0.62643,                0.99788,             0.00056953,             0.00056953,             0.00056953
                    135,                0.80923,                0.45221,                0.96479,                 0.9358,                0.87141,                0.90488,                0.67802,                0.88823,                0.62413,                0.98801,             0.00056128,             0.00056128,             0.00056128
                    136,                0.81261,                0.45637,                  0.969,                0.92596,                0.87897,                0.91146,                0.68828,                 0.8896,                0.60448,                0.99046,             0.00055303,             0.00055303,             0.00055303
                    137,                0.80685,                0.45624,                 0.9546,                 0.9292,                0.89418,                0.91707,                0.70043,                0.88786,                0.58755,                0.98761,             0.00054478,             0.00054478,             0.00054478
                    138,                0.82064,                0.45412,                0.96276,                0.92166,                0.89431,                0.91779,                0.69746,                0.89331,                0.60436,                0.99102,             0.00053652,             0.00053652,             0.00053652
                    139,                0.79434,                 0.4579,                0.96578,                0.92772,                0.88538,                0.91337,                0.69052,                0.90457,                0.61479,                0.99525,             0.00052827,             0.00052827,             0.00052827
                    140,                0.79204,                0.44761,                0.96038,                0.89725,                0.89382,                0.90577,                0.68383,                0.88572,                0.65315,                 0.9737,             0.00052002,             0.00052002,             0.00052002
                    141,                 0.7805,                0.44522,                0.94758,                0.93968,                0.87914,                0.90699,                0.69185,                0.88783,                0.62234,                0.97556,             0.00051177,             0.00051177,             0.00051177
                    142,                0.79863,                0.44955,                0.95894,                0.92478,                0.87486,                0.90361,                0.68315,                 0.8914,                0.64593,                0.98973,             0.00050352,             0.00050352,             0.00050352
                    143,                0.79726,                0.44788,                0.95677,                0.94734,                0.88492,                0.90728,                0.68753,                0.90544,                0.60639,                 1.0099,             0.00049527,             0.00049527,             0.00049527
                    144,                0.78696,                   0.44,                0.95912,                0.94406,                0.88161,                0.91277,                0.69244,                0.90176,                0.57811,                 1.0022,             0.00048701,             0.00048701,             0.00048701
                    145,                0.79287,                0.44535,                0.95578,                0.93531,                0.87586,                0.91655,                0.70188,                0.90118,                0.58173,                0.99262,             0.00047876,             0.00047876,             0.00047876
                    146,                 0.7908,                0.43973,                0.95967,                0.95159,                0.89418,                0.92266,                0.70508,                0.88844,                0.57864,                0.98297,             0.00047051,             0.00047051,             0.00047051
                    147,                0.79455,                0.45435,                0.95657,                0.93781,                0.88448,                0.92945,                0.71015,                0.89244,                0.57714,                0.97833,             0.00046226,             0.00046226,             0.00046226
                    148,                0.78853,                0.44798,                0.96138,                0.94586,                0.89418,                0.93126,                0.71109,                0.88426,                0.57564,                0.98009,             0.00045401,             0.00045401,             0.00045401
                    149,                0.78304,                0.43987,                0.95732,                0.95273,                0.88889,                0.92348,                0.70688,                0.87006,                0.57863,                0.96623,             0.00044576,             0.00044576,             0.00044576
                    150,                0.75614,                0.42771,                0.94223,                0.94449,                0.88578,                0.92761,                0.70933,                 0.8734,                0.56381,                0.96702,              0.0004375,              0.0004375,              0.0004375
                    151,                0.76602,                0.43693,                0.95057,                0.93223,                0.88124,                0.92709,                0.71229,                0.87919,                0.57868,                0.97355,             0.00042925,             0.00042925,             0.00042925
                    152,                0.75262,                0.42962,                0.94352,                0.92862,                0.88773,                0.91089,                0.69762,                0.88116,                 0.6027,                0.97578,               0.000421,               0.000421,               0.000421
